"ser_id";"ser_nameshort";"ser_comment";"sam_samplingtype";"ser_uni_code";"type"
195;"FreS";"Only true silver eel counted, not silvering yellow.  / River Fremur, channel, Brittany";"NA";"nr";"trap"
292;"WelY";"Index river estimates of eel density per year from pooled data taken from all quantitative surveys (mainly electrofishing and some seine netting) in that river. Any surveys that have 'Not recorded' as catch or sample method are excluded, as are all fyke net or other fixed instrument data and data with no area of fishing provided.";"NA";"nr/m2";"electrofishing"
293;"WenY";"Index river estimates of eel density per year from pooled data taken from all quantitative surveys (mainly electrofishing and some seine netting) in that river. Any surveys that have 'Not recorded' as catch or sample method are excluded, as are all fyke net or other fixed instrument data and data with no area of fishing provided.";"NA";"nr/m2";"electrofishing"
294;"WitY";"Index river estimates of eel density per year from pooled data taken from all quantitative surveys (mainly electrofishing and some seine netting) in that river. Any surveys that have 'Not recorded' as catch or sample method are excluded, as are all fyke net or other fixed instrument data and data with no area of fishing provided.";"NA";"nr/m2";"electrofishing"
295;"WyeY";"Index river estimates of eel density per year from pooled data taken from all quantitative surveys in that river (all electrofishing). Any surveys that have 'Not recorded' as catch or sample method are excluded, as are all fyke net or other fixed instrument data and data with no area of fishing provided.";"NA";"nr/m2";"electrofishing"
222;"SeNS";"At the moulin de Bégrolles, fisheries are traditional installations, consisting of traps set up in openings, the supply of which is controlled by a discharge structure (valve), equipped with inclined grid planes (15 mm spacing between bars) and traps. These fisheries are used as scientific fish counting facility between october and may, | partial trap, escapement to the trap not evaluated, trap operating from november to may";"trapping partial";"nr";"trap"
221;"LoiS";"Silver eel fisheries are located along the Loire River from the upstream part of Amboise, in Indre-et-Loire, to Ancenis, in Loire-Atlantique. Four of them were selected  for the construction of the abundance index, The technique used by professional fisheries is the guideau, a selective capture gear used to fish for silver eels. This tool is similar to a trawl net, 9 m wide, 5 m high and 22 to 25 m long, with decreasing mesh sizes (120 mm at the entrance to 20 mm at the end) extended by a removable pocket where silver eels can be caught. But unlike the trawl, the boat and the guideau remain motionless, held against the current by a strong anchoring and cable system. The fishing data collected are the catches expressed in number of eels and the fishing effort corresponds to a fishing night, The fishing period, which corresponds to the legal period, begins on October 1 and ends on February 15. | Professional fisheries ; partial, escapement evaluated for some year by MNHN";"trapping partial";"index";"stow net"
223;"SouS";"At the moulin de Bégrolles, fisheries are traditional installations, consisting of traps set up in openings, the supply of which is controlled by a discharge structure (valve), equipped with inclined grid planes (15 mm spacing between bars) and traps. These fisheries are used as scientific fish counting facility between october and may, | partial trap, escapement to the trap evaluated (CMR), trap operating from october to mid-march (in average 3 days a week)";"trapping partial";"nr";"trap"
220;"BreS";"The trap is at Lieu de Dieu, 15 km from the sea. The trap is operating from beginning of December to mid-may as part of the salmonids survey | partial trap, escapement to the trap not evaluated, trap operating from december to mid may as part of the salmonids survey";"trapping partial";"nr";"trap"
194;"DeBY";"fyke net survey updated 2011 / new data series og fyke net monitoruing";"NA";"index";"net"
231;"IjsY";"Fishery indepent survey on lake ijsselmeer with electro fishing beamtrawl in october/november | electrofishing (beamtrawl)";"NA";"nr/m2";"electrofishing beamtrawl"
232;"MarY";"Fishery indepent survey on lake ijsselmeer with electro fishing beamtrawl in october/november | electrofishing (beamtrawl)";"NA";"nr/m2";"electrofishing beamtrawl"
332;"IJsFVY";"Fishery indepent survey on shores in lake ijsselmeer with electro fishing net in august/september";"NA";"index";"electrofishing"
333;"MmFVY";"Fishery indepent survey on shores in lake markermeer with electro fishing net in august/september";"NA";"index";"electrofishing"
334;"IJsFRY";"Fishery indepent survey on shores in lake ijsselmeer with electro fishing net in august/september";"NA";"index";"electrofishing"
335;"MmFRY";"Fishery indepent survey on shores in lake ijsselmeer with electro fishing net in august/september";"NA";"index";"electrofishing"
327;"LevS";"Silver eels counter";"scientific estimate";"nr";"counter"
297;"StrS";"New series with short name StrS (Strangford silver eel trapping). Pilot in 2016 and now established for this EMU as a yearly sci survey. 3 streams in Killough which discharge into Strangford GB_NorE: using small coghil as full trap, escapement to the trap not evaluated | 3 streams using small coghil as full trap, escapement to the trap not evaluated";"trapping all";"nr";"trap"
201;"BaBS";"Full trap";"trapping partial";"nr";"trap"
203;"GiBS";"full trap";"trapping partial";"nr";"trap"
202;"ShiS";"full trap";"trapping partial";"nr";"trap"
326;"FowS";"Estimate of silver eel escapement based on resistivity counter at Restormel Water Treatment Works. The counter covers three channels, which cover the full width of the river.";"scientific estimate";"nr";"counter"
226;"BFeY";"These are the data from our annual \""summer fyke net\"" annual surveys. | fyke net survey, usually 3 or 6 sites";"NA";"nr/net/day";"fyke net"
227;"BFuY";"These are the data from our annual \""summer fyke net\"" annual surveys. | fyke net survey, usually 3 or 6 sites";"NA";"nr/net/day";"fyke net"
228;"BLFY";"These are the data from our annual \""summer fyke net\"" annual surveys. | fyke net survey, usually 3 or 6 sites";"NA";"nr/net/day";"fyke net"
225;"BuBY";"These are the data from our annual \""summer fyke net\"" annual surveys. | fyke net survey, usually 3 or 6 sites";"NA";"nr/net/day";"fyke net"
216;"SeiY";"The Seine river is sampled every year by electrofishing using a specific Eel Abundance Index (EAI). The EAI is an electrofishing method derived from the Punctual Abundance sampling method. Thirty electrofishing points of 30 seconds are made by sampling station. The points distribution depends on the configuration of the sampled station. For more information see https://www6.inra.fr/diapfc/content/download/3659/36581/file/Livret%20indice%20anguille.pdf | a delta_gamma model was used to estimate an index every year using a sampling site, a year and method effect | Between 16 and 47 sampling sites were sampled each year";"NA";"index";"electrofishing"
217;"SeNY";"The Sèvre Niortaise is sampled using a 3 year electrofishing alternated sampling network . Sampling stations are sampled using two or three pass electrofishing surveys. | a delta_gamma model was used to estimate an index every year using a sampling site, a year and method effect | Between 7 and 18 sampling sites were sampled each year";"NA";"index";"electrofishing"
218;"SouY";"About 10 stations were sampled on the Courant de Soustons basin every year. Sampling stations are sampled using two or three pass electrofishing surveys or Punctual Abundance sampling method.. | electrofishing ; | a delta_gamma model was used to estimate an index every year using a sampling site, a year and method effect | Between 3 and 12 sampling sites were sampled each year";"NA";"index";"electrofishing"
