"ser_id";"ser_nameshort";"ser_namelong";"ser_typ_id";"ser_effort_uni_code";"ser_comment";"ser_uni_code";"ser_lfs_code";"ser_hty_code";"ser_locationdescription";"ser_emu_nameshort";"ser_cou_code";"ser_area_division";"ser_x";"ser_y";"ser_sam_id";"ser_qal_id";"ser_qal_comment";"tblCodeID";"Station_Code";"Country";"Organisation";"Station_Name";"cou_code";"cou_country";"cou_order";"cou_iso3code";"lfs_code";"lfs_name";"lfs_definition";"ocean";"subocean";"f_area";"f_subarea";"f_division";"area"
"1";29;"ImsaGY";"Imsa Near Sandnes trapping all";1;NA;"The stage is not really glass eel but elver";"nr";"GY";"F";"Near Sandnes";"NO_total";"NO";"27.4.a";5.96428;58.9037;4;1;"Cedric : Series corrected manually in 2023 for missing das_qal_id, it should be retained";18134;NA;"NORWAY";"NINA";"ImsaGY";"NO";"Norway";1;"NOR";"GY";"glass eel + yellow eel";"A mixture of glass and yellow eel, some traps have historical set of data where glass eel and yellow eel were not separated,
they were dominated by glass eel";"Atlantic";"2";"27";"27.4";"27.4.a";"North Sea"
"2";157;"VerlGY";"Verlath Pumping Station";1;"nr day";"Series started in 2010. Probably bias in 2010 due to restocking acitvities nearby";"nr";"GY";"T";"Vida river 6 km from the sea";"DE_Eide";"DE";"27.4.b";8.77;54.89;5;1;"Now > 10 years old, integrated in the series number in 2019";170066;12066;"GERMANY";"LLUR";"VerlGY";"DE";"Germany";11;"DEU";"GY";"glass eel + yellow eel";"A mixture of glass and yellow eel, some traps have historical set of data where glass eel and yellow eel were not separated,
they were dominated by glass eel";"Atlantic";"2";"27";"27.4";"27.4.b";"North Sea"
"3";189;"StraGY";"Strangford";1;NA;"Scientific trapping using artificial glass eel substrate traps at flap valve freshwater interface. This is the 8th year of trapping at this site, which will become a new NI Index site after 10 years of data collection.";"nr";"GY";"F";"Location is at wetlands and wildfowl centre, Comber, which has several very large ponds draining into the Strangford Lough.";"GB_NorE";"GB";"27.7.a";-5.55;54.37;5;1;">=10 years";170079;12079;"GREAT BRITAIN";"AFBI";"StraGY";"GB";"Great Britain";17;"GBR";"GY";"glass eel + yellow eel";"A mixture of glass and yellow eel, some traps have historical set of data where glass eel and yellow eel were not separated,
they were dominated by glass eel";"Atlantic";"2";"27";"27.7";"27.7.a";"Elsewhere Europe"
"4";47;"InagGY";"River Inagh";1;NA;"not influenced by water control, new data introduced in 2009glass eel trapping (kg), there might be some small number of yellow juveniles. There was an improvement to the trap in 2011. The trap was replaced with new design in 2017.";"kg";"GY";"F";"1 ramp trap Located on left hand bank below waterfall at tidal mark on river Inagh. Located on West coast of Ireland";"IE_Shan";"IE";"27.7.b";-9.43;52.83;4;1;NA;170038;12038;"IRELAND";"IFI";"InagGY";"IE";"Ireland";16;"IRL";"GY";"glass eel + yellow eel";"A mixture of glass and yellow eel, some traps have historical set of data where glass eel and yellow eel were not separated,
they were dominated by glass eel";"Atlantic";"2";"27";"27.7";"27.7.b";"Elsewhere Europe"
"5";67;"VacG";"Vaccares";1;NA;"Grau de la Fourcade Glass eel trap, monitoring from october to april. Some years incomplete monitoring (2010,2011,2012). Escapement and recruitment to the vaccares is possible via using the sluce (13 martelieres (gates)) accoring to flow conditions. This escapement is not evaluated.";"nr";"G";"T";"Gates at Saintes Maries de la mer";"FR_Rhon";"FR";"37.1.2";4.444;43.45;5;1;NA;170049;12049;"FRANCE";"Tour du Valat";"VacG";"FR";"France";18;"FRA";"G";"glass eel";"Young, unpigmented eel, recruiting from the sea into continental waters. WGEEL consider the glass eel term to include all recruits of the 0+ cohort age. In some cases, however, also includes the early pigmented stages.";"Atlantic";"3";"37";"37.1";"37.1.2";"Elsewhere Europe"
"6";188;"GreyGY";"Greylake_Elvers/Yellow (mainly yellow>120mm with 20-25% elvers <120mm)";1;NA;"Camera trap _Mixture of elvers (80-120mm) and yellow eel (>120mm), with the majority of the trapped eels yellow (75-80%). Greylake site, on river Parrett. Some relases of glass eel have been reported for this river in 2021 and 2022, but this was assisted migration, so this series was indicated as one not affected by stocking (last time stocking took place in this EMU was in 2016 and it was minor).";"nr";"GY";"F";"Environment Agency camera trap _Mixture of elvers (<120mm) and yellow eel (>120mm), Greylake site, on river Parrett";"GB_SouW";"GB";"27.7.g";-2.8813331;51.047104;5;1;NA;170078;12078;"GREAT BRITAIN";"Environment Agency";"GreyGY";"GB";"Great Britain";17;"GBR";"GY";"glass eel + yellow eel";"A mixture of glass and yellow eel, some traps have historical set of data where glass eel and yellow eel were not separated,
they were dominated by glass eel";"Atlantic";"2";"27";"27.7";"27.7.g";"Elsewhere Europe"
"7";50;"BresGY";"Bresle";1;NA;"Channel glass eel and young yellow eel survey at the trapping station, a change in 2003 is has probably caused an improvement on the serie";"nr";"GY";"F";"Bresle river 3 km from the sea";"FR_Sein";"FR";"27.7.d";1.42;50.05;5;1;NA;170005;12005;"FRANCE";"AFB";"BresGY";"FR";"France";18;"FRA";"GY";"glass eel + yellow eel";"A mixture of glass and yellow eel, some traps have historical set of data where glass eel and yellow eel were not separated,
they were dominated by glass eel";"Atlantic";"2";"27";"27.7";"27.7.d";"Elsewhere Europe"
"8";204;"HellGY";"Hellebaekken";1;NA;"Glass and young of the year trap at the interface of freshwater/marine, monitored from 1 april to 1 november";"nr";"GY";"T";"Trap in small stream at the marine borderline";"DK_Inla";"DK";"27.3.a";12.55;56.07;3;1;"Serie long enough to be integrated";170082;12082;"DANEMARK";"DTU Aqua";"HellGY";"DK";"Denmark";12;"DNK";"GY";"glass eel + yellow eel";"A mixture of glass and yellow eel, some traps have historical set of data where glass eel and yellow eel were not separated,
they were dominated by glass eel";"Atlantic";"2";"27";"27.3";"27.3.a";"North Sea"
"9";65;"KlitG";"Klitmoeller A";1;"nr electrofishing";"Average densities (eel/m2) of pigmented glas eel and yellow eel (elvers)  from three electro surveys from may to august . The data represent in general 3 electrofishing surveys per season. Some years only one or two  electrofishing surveys have been possible. The max density is usally found in June/July.";"nr/m2";"G";"F";"Electrofishing in shallow small stream.";"DK_Inla";"DK";"27.3.a";8.49;57.04;3;1;NA;170023;12023;"DENMARK";"DTU Aqua";"KlitG";"DK";"Denmark";12;"DNK";"G";"glass eel";"Young, unpigmented eel, recruiting from the sea into continental waters. WGEEL consider the glass eel term to include all recruits of the 0+ cohort age. In some cases, however, also includes the early pigmented stages.";"Atlantic";"2";"27";"27.3";"27.3.a";"North Sea"
"10";66;"NorsG";"Nors A";1;"nr electrofishing";"Average densities (eel/m2) of pigmented glas eel and yellow eel (elvers)  from three electro surveys from may to august . The data represent in general 3 electrofishing surveys per season. Some years only one or two  electrofishing surveys have been possible. The max density is usally found in June/July.";"nr/m2";"G";"F";"Electrofishing in shallow small stream.";"DK_Inla";"DK";"27.3.a";8.51;57.048;3;1;NA;170033;12033;"DENMARK";"DTU Aqua";"NorsG";"DK";"Denmark";12;"DNK";"G";"glass eel";"Young, unpigmented eel, recruiting from the sea into continental waters. WGEEL consider the glass eel term to include all recruits of the 0+ cohort age. In some cases, however, also includes the early pigmented stages.";"Atlantic";"2";"27";"27.3";"27.3.a";"North Sea"
"11";70;"LiffGY";"Liffey";1;NA;"Mixed Glass Eel and Young Yellow Eel. Trap installed in 2012, at one end of a long weir. Trap at tidal limit.  Refurbished in 2017. Series introduced 2017.";"kg";"GY";"F";"Trap located on the first dam in river Liffey (Dublin, Islandbridge) at the tidal limit,  10 km from the sea. East coast of Ireland";"IE_East";"IE";"27.7.a";-6.3143036;53.346488;5;1;">=10 years";170071;12071;"IRELAND";"MI";"LiffGY";"IE";"Ireland";16;"IRL";"GY";"glass eel + yellow eel";"A mixture of glass and yellow eel, some traps have historical set of data where glass eel and yellow eel were not separated,
they were dominated by glass eel";"Atlantic";"2";"27";"27.7";"27.7.a";"Elsewhere Europe"
"12";13;"RhIjG";"Rhine Ijmuiden scientific estimate";1;"nr haul";"Glass eel density is measured using a 1x1m liftnet with a fine mesh size (1x1mm). This net is lowered by a rope, just in front of a barrier (sluice, pumping station, etc), until the bottom is reached. After approximately 5 minutes the net is lifted by pulling the rope at a speed of approximately 1 m per second. Three hauls are taken at night time (after sunset). From 2009 to 2019 number of hauls between 18 and 30 per year. The index corresponds to the average number of glass eel per lift in the period April May.";"index";"G";"T";"IJmuiden (RhIj): 52Åã28'12.19\"N   4Åã36'5.21\"O (discharge sluices)";"NL_Neth";"NL";"27.4.c";4.601898;52.470077;3;1;NA;170035;12035;"NETHERLANDS";"WMR";"RhIjG";"NL";"Netherlands";13;"NLD";"G";"glass eel";"Young, unpigmented eel, recruiting from the sea into continental waters. WGEEL consider the glass eel term to include all recruits of the 0+ cohort age. In some cases, however, also includes the early pigmented stages.";"Atlantic";"2";"27";"27.4";"27.4.c";"North Sea"
"13";45;"FealGY";"River Feale";1;NA;"Not influenced by water control, new data introduced to the wgeel in 2009. Glass eel trapping (kg), there might be some small number of yellow juveniles.  This trap was replaced with a new design in 2017.";"kg";"GY";"F";"1 ramp trap below water abstraction weir, right hand bank at tidal limit on river Feale. Located on West coast of Ireland";"IE_Shan";"IE";"27.7.j";-9.63;52.47;4;1;NA;170037;12037;"IRELAND";"IFI";"FealGY";"IE";"Ireland";16;"IRL";"GY";"glass eel + yellow eel";"A mixture of glass and yellow eel, some traps have historical set of data where glass eel and yellow eel were not separated,
they were dominated by glass eel";"Atlantic";"2";"27";"27.7";"27.7.j";"Elsewhere Europe"
